gene,f_statistic,p_value,fdr,eta_squared
gene_16337,1176.7296465918168,0.0,0.0,0.8553494863667471
gene_3921,1989.2065603537687,0.0,0.0,0.9090579456229088
gene_3461,1687.6700067430372,0.0,0.0,0.8945231549297094
gene_3439,1972.2621215365873,0.0,0.0,0.9083482376327887
gene_6733,1984.6288596338793,0.0,0.0,0.9088672971498618
gene_450,2215.2363572597446,0.0,0.0,0.9175722793662687
gene_1510,1735.7396018770949,0.0,0.0,0.8971437811026718
gene_18135,2772.2930447562767,0.0,0.0,0.9330257914643612
gene_16259,1228.7782952963707,0.0,0.0,0.8606226186127226
gene_11059,1131.4077497266428,0.0,0.0,0.8504217973468002
gene_220,3441.7683317074902,0.0,0.0,0.9453412077151668
gene_7896,1753.1834929926426,0.0,0.0,0.898062861040312
gene_219,3391.7401206889576,0.0,0.0,0.9445796706775267
gene_7116,1319.821951805783,0.0,0.0,0.8689774006996661
gene_3737,2046.8271374247965,0.0,0.0,0.9113912212191959
gene_203,1722.1993065211104,0.0,0.0,0.8964188674623522
gene_7238,1185.910997705136,0.0,0.0,0.856308455684335
gene_12808,1641.594019145598,0.0,0.0,0.8918827302870538
gene_11903,1238.1290150268792,0.0,0.0,0.861529481404091
gene_15898,1905.1908788598432,0.0,0.0,0.9054268308073707
gene_15896,1276.0787736454547,0.0,0.0,0.8650919506432878
gene_3523,1718.6347748742783,0.0,0.0,0.8962263291178338
gene_7965,1585.7321464085694,0.0,0.0,0.8884986744927243
gene_16358,1533.6946539193355,0.0,0.0,0.8851499890359422
gene_19236,1235.0314697234428,0.0,0.0,0.8612303814794405
gene_13818,2438.5815528459666,0.0,0.0,0.9245520959208721
gene_9175,4194.48933627589,0.0,0.0,0.9547057054726616
gene_9176,3463.550328022878,0.0,0.0,0.9456662756338358
gene_19159,1269.364087596481,0.0,0.0,0.8644750292648895
gene_16132,1692.7422276107693,0.0,0.0,0.8948059639968328
gene_7421,1986.2466340099854,0.0,0.0,0.9089347642033294
gene_5829,1141.9687441644242,0.0,0.0,0.8515998222434338
gene_12995,1712.687855394917,0.0,0.0,0.895903507762312
gene_9626,1377.2452598087011,0.0,0.0,0.873750611612211
gene_12848,1320.0538432990709,0.0,0.0,0.8689974019829263
gene_16246,1555.9001242336337,0.0,0.0,0.8866032332826325
gene_12847,1261.3124047661613,0.0,0.0,0.8637277891014927
gene_2288,1310.3054976331227,0.0,0.0,0.8681512786430121
gene_7964,2055.979392723439,0.0,0.0,0.9117508565079795
gene_16342,1586.4790229341884,0.0,0.0,0.8885453161622859
gene_15894,1289.1539234024503,0.0,0.0,0.8662772735598373
gene_15895,2014.3216047070662,0.0,0.0,0.9100898850050582
gene_8348,1103.692738059083,0.0,0.0,0.8472394954035782
gene_1858,1851.3086562054955,0.0,0.0,0.9029414427931599
gene_13210,1127.29147591426,0.0,0.0,0.8499575669346575
gene_16169,1969.440752271936,0.0,0.0,0.9082289890597649
gene_16392,1763.2611986185796,0.0,0.0,0.8985863858796707
gene_12078,1157.5348936083692,0.0,0.0,0.8533027046059525
gene_14114,2409.065625965547,0.0,0.0,0.9236982390248234
gene_18,1149.039247051605,0.0,0.0,0.8523781852529536
gene_18746,1108.12877166845,0.0,0.0,0.8477579223154946
gene_19153,1715.4066941511774,0.0,0.0,0.896051345511913
gene_14503,1358.0800593758736,0.0,0.0,0.872196680702619
gene_13976,1728.6378782186753,0.0,0.0,0.8967648424797008
gene_16130,1520.0103839584915,0.0,0.0,0.8842357196576385
gene_11566,1546.83342804209,0.0,0.0,0.8860143259926153
gene_2037,1544.1858428577882,0.0,0.0,0.8858412022932911
gene_9177,1085.7481507869895,1.076e-320,3.696486e-318,0.8451058288131413
gene_16131,1088.4765899314057,1.0785e-320,3.696486e-318,0.8454340827971073
gene_4442,1083.8031474842676,2.148e-320,7.23978e-318,0.8448709761975071
gene_5729,1080.652430990207,7.497e-320,2.4851784e-317,0.8444890228153499
gene_16377,1077.2589762194466,2.02853e-319,6.615968e-317,0.844075533486565
gene_6816,1076.603187811839,2.45407e-319,7.8767967e-317,0.8439953726194712
gene_18636,1055.8588606696194,1.69419067e-316,5.352848379e-314,0.8414164283831809
gene_3524,1053.7350662632734,3.3235038e-316,1.03391646985e-313,0.8411475775212492
gene_12881,1048.8469314800222,1.574172005e-315,4.8229291095e-313,0.8405253120557235
gene_12013,1048.0852433436496,2.006963837e-315,6.0571366801e-313,0.8404279089483513
gene_17801,1045.444060140554,4.664751526e-315,1.387146185427e-312,0.8400892363313428
gene_8003,1038.8264763165475,3.89046453e-314,1.140131641489e-311,0.8392343322691136
