gene,h_statistic,p_value,fdr
gene_7964,691.8084257186597,2.069753673724466e-148,4.1852489036382427e-144
gene_11059,664.5267749509032,1.669674772445356e-142,1.6881246786808772e-138
gene_18214,662.9973349227743,3.578886062331638e-142,1.8502731448756667e-138
gene_13976,662.9523206090339,3.660102160873679e-142,1.8502731448756667e-138
gene_4429,643.1905216138135,6.944017525841587e-138,2.3402496398340454e-134
gene_16131,643.2976208009451,6.583041615416657e-138,2.3402496398340454e-134
gene_16064,640.6681649327851,2.441363295791837e-137,7.052401029172391e-134
gene_14114,636.9903603938495,1.5267398401118339e-136,3.8590257883626744e-133
gene_8349,635.6784172729554,2.936008301577034e-136,6.596558207354356e-133
gene_18381,633.6155554026353,8.209086686528759e-136,1.6599594188829805e-132
gene_17904,633.41926217427,9.052848104740095e-136,1.6641603775086315e-132
gene_5407,631.0405138401625,2.962749956956262e-135,4.992480573301047e-132
gene_2318,628.454889255662,1.0749264687573571e-134,1.6720067788263476e-131
gene_17109,626.7494539884016,2.514970664947433e-134,3.632515843993003e-131
gene_18746,625.4267379900429,4.862307879899777e-134,6.554715175963559e-131
gene_7896,625.1027434968094,5.714426399523421e-134,7.221963514047693e-131
gene_16173,623.3026223540156,1.4015723856099687e-133,1.6671291299658338e-130
gene_5577,614.3686723244401,1.203229411100068e-131,1.3516945512141374e-128
gene_5576,610.5623291669849,8.020382526518584e-131,8.535797635196437e-128
gene_2639,609.9625420274174,1.081463233245769e-130,1.0934134019731348e-127
gene_11124,609.3721166780061,1.4514490066555714e-130,1.3340795619810142e-127
gene_6816,609.3918575214815,1.4372394707622179e-130,1.3340795619810142e-127
gene_4224,609.0127662359046,1.7361146274062022e-130,1.526346690468731e-127
gene_18042,605.1264380460153,1.2042390358537264e-129,1.0146215643332583e-126
gene_11393,604.9037308770467,1.3455926626891407e-129,1.0883691692894846e-126
gene_7992,604.0598505365538,2.04906438590356e-129,1.5936204210521493e-126
gene_15589,603.916204043115,2.201126981381415e-129,1.6484810626116146e-126
gene_15897,603.3247917400415,2.95559240279017e-129,2.134465499172144e-126
gene_3541,603.0177481253152,3.4442753925397456e-129,2.4016100935360757e-126
gene_11259,602.5976031691498,4.246484011412736e-129,2.8622717731592312e-126
gene_7965,601.417526428813,7.64594906568607e-129,4.987378582491549e-126
gene_18335,600.614171028086,1.1410356917799593e-128,7.210275851088299e-126
gene_628,600.2566989628955,1.363532837001199e-128,8.355150756667044e-126
gene_19153,599.598098305773,1.8932315453504315e-128,1.1249595474093405e-125
gene_16372,599.541734338339,1.9471630561953868e-128,1.1249595474093405e-125
gene_17801,597.0626508715912,6.697842582750419e-128,3.7621409684943395e-125
gene_9652,596.4571932501666,9.056684434714251e-128,4.949600431198834e-125
gene_6594,596.3460822855222,9.572294145751422e-128,5.093719997927355e-125
gene_10841,596.0803781545641,1.0927480922660706e-127,5.665758762490311e-125
gene_2073,595.3245202123089,1.592587535305683e-127,8.050928137854054e-125
gene_148,590.1249909334967,2.1250531543462713e-126,1.048065849610633e-123
gene_15803,589.2150804768443,3.34415543474863e-126,1.6100515963345724e-123
gene_7792,589.1109243163633,3.5223066296065326e-126,1.656385171099388e-123
gene_6836,584.7746198576324,3.0566523334901997e-125,1.404740155352394e-122
gene_15912,584.6712419440187,3.2182349908595633e-125,1.4461317722260274e-122
gene_12995,583.8552667707825,4.832813640599748e-125,2.124441839707989e-122
gene_8776,583.5005217955268,5.767251478591323e-125,2.481267918055216e-122
gene_16449,582.6793633865564,8.683036985628566e-125,3.6579102267999005e-122
gene_12881,582.495310961341,9.517029012690961e-125,3.927425380931101e-122
gene_17441,582.400671560421,9.976581459411356e-125,4.0347290738151404e-122
gene_15302,581.6612319192358,1.4421126021101701e-124,5.717835083778382e-122
gene_4833,580.6848751565857,2.345769023051028e-124,9.12188373367593e-122
gene_590,580.6454227344225,2.3923395791386803e-124,9.127452571653443e-122
gene_2778,580.0749754819244,3.1788384826016384e-124,1.1903572769756989e-121
gene_6611,579.0616105251052,5.266973354786506e-124,1.936426694675235e-121
gene_12568,577.4225821978857,1.191913761729531e-123,4.303872888559436e-121
gene_89,576.3551873690976,2.0287376738985847e-123,7.197035877877769e-121
gene_10279,575.722590811841,2.7804635504155617e-123,9.693750595336737e-121
gene_7932,573.9815986165108,6.620001938618125e-123,2.268865410183002e-120
gene_7421,573.4970845347265,8.427592571525027e-123,2.840239156480126e-120
gene_15987,573.3803642098104,8.932251384841746e-123,2.9609681188997532e-120
gene_4288,573.2052460547047,9.746645330341458e-123,3.178821213303784e-120
gene_18091,572.8878544235137,1.1416583963501767e-122,3.664361021047131e-120
gene_9173,571.7081629373868,2.0549952491751984e-122,6.492821708370577e-120
gene_6926,571.5239534424556,2.2525370219462756e-122,7.007469403196253e-120
gene_16133,570.4092572350222,3.925366675662011e-122,1.202649084069114e-119
gene_6937,570.3348484588238,4.073628618870686e-122,1.229445437346032e-119
gene_17316,569.3812365545355,6.551359196474918e-122,1.9199280335060773e-119
gene_6593,569.3941652005836,6.509292964749004e-122,1.9199280335060773e-119
gene_16088,569.1816643538792,7.236294732119795e-122,2.0903587968313482e-119
gene_17906,568.7696179860119,8.885411982237735e-122,2.5305903618708346e-119
gene_544,568.4718646092468,1.0306406695111434e-121,2.89452569141456e-119
gene_6748,566.6743474779071,2.5238443600204835e-121,6.991048877256739e-119
gene_3217,566.5265568403754,2.716702089313324e-121,7.423572020000637e-119
gene_5988,566.0793630383987,3.394745126986963e-121,9.152685495040451e-119
gene_15583,565.9478804383377,3.6245803180383345e-121,9.643768238296469e-119
gene_17769,565.7573632122198,3.985495379753654e-121,1.0466324944675148e-118
